Measure with a1 Version 0.0.1
(C) 2016 Rohde & Schwarz

Tue 21 Jun 22:46:48 2016

VNA INSTRUMENT INFO
Connection:       
Address:          
Make:             Rohde & Schwarz
Model:            ZNB
Serial No:        1311601064100104
Firmware Version: 2.70
Min Frequency:    100.0 KHz
Max Frequency:    20.0 GHz
Number of Ports:  4
Options:          ZNB-K2
                  ZNB-K4
                  ZNB-K14
                  ZNB-K17
                  ZNB-K19
                  ZNB-K20
                  ZNB20-B24
                  ZNB-B81
                  ZNB-B1
                  ZNB20-B2


Write:    "*RST"
Bytes:    4
Status:   0x0 VI_SUCCESS Operation completed successfully.

Write:    "*OPC?"
Bytes:    5
Status:   0x0 VI_SUCCESS Operation completed successfully.

Read:     "1"
Bytes:    2
Status:   0x0 VI_SUCCESS Operation completed successfully.

Write:    "*CLS"
Bytes:    4
Status:   0x0 VI_SUCCESS Operation completed successfully.

Write:    ":SENS1:SWE:TYPE POW"
Bytes:    19
Status:   0x0 VI_SUCCESS Operation completed successfully.

Write:    ":SOUR1:POW:STAR -20.0 dBm"
Bytes:    25
Status:   0x0 VI_SUCCESS Operation completed successfully.

Write:    ":SOUR1:POW:STOP 0 dBm"
Bytes:    21
Status:   0x0 VI_SUCCESS Operation completed successfully.

Write:    ":SENS1:SWE:POIN 201"
Bytes:    19
Status:   0x0 VI_SUCCESS Operation completed successfully.

Write:    ":MMEM:LOAD:CORR 1,'example.cal'"
Bytes:    31
Status:   0x0 VI_SUCCESS Operation completed successfully.

Write:    ":INIT1:CONT 0"
Bytes:    13
Status:   0x0 VI_SUCCESS Operation completed successfully.

Write:    ":CONF:TRAC:CHAN:NAME:ID? 'Trc1'"
Bytes:    31
Status:   0x0 VI_SUCCESS Operation completed successfully.

Read:     "1"
Bytes:    2
Status:   0x0 VI_SUCCESS Operation completed successfully.

Write:    ":CALC1:PAR:MEAS 'Trc1','S21'"
Bytes:    28
Status:   0x0 VI_SUCCESS Operation completed successfully.

Write:    ":CALC1:PAR:SDEF 'Trc2', 'a1(P1)'"
Bytes:    32
Status:   0x0 VI_SUCCESS Operation completed successfully.

Write:    ":DISP:WIND1:TRAC:EFE 'Trc2'"
Bytes:    27
Status:   0x0 VI_SUCCESS Operation completed successfully.

Write:    ":CONF:TRAC:CHAN:NAME:ID? 'Trc1'"
Bytes:    31
Status:   0x0 VI_SUCCESS Operation completed successfully.

Read:     "1"
Bytes:    2
Status:   0x0 VI_SUCCESS Operation completed successfully.

Write:    ":INIT1:CONT?"
Bytes:    12
Status:   0x0 VI_SUCCESS Operation completed successfully.

Read:     "0"
Bytes:    2
Status:   0x0 VI_SUCCESS Operation completed successfully.

Write:    ":INIT1:CONT 0"
Bytes:    13
Status:   0x0 VI_SUCCESS Operation completed successfully.

Write:    ":INIT1"
Bytes:    6
Status:   0x0 VI_SUCCESS Operation completed successfully.

Write:    ":SENS1:SWE:TYPE?"
Bytes:    16
Status:   0x0 VI_SUCCESS Operation completed successfully.

Read:     "POW"
Bytes:    4
Status:   0x0 VI_SUCCESS Operation completed successfully.

Write:    ":SENS1:SWE:TIME?"
Bytes:    16
Status:   0x0 VI_SUCCESS Operation completed successfully.

Read:     "0.0175875"
Bytes:    10
Status:   0x0 VI_SUCCESS Operation completed successfully.

Write:    ":SENS1:SWE:COUN?"
Bytes:    16
Status:   0x0 VI_SUCCESS Operation completed successfully.

Read:     "1"
Bytes:    2
Status:   0x0 VI_SUCCESS Operation completed successfully.

Write:    "*OPC?"
Bytes:    5
Status:   0x0 VI_SUCCESS Operation completed successfully.

Read:     "1"
Bytes:    2
Status:   0x0 VI_SUCCESS Operation completed successfully.

Write:    ":CONF:TRAC:CHAN:NAME:ID? 'Trc1'"
Bytes:    31
Status:   0x0 VI_SUCCESS Operation completed successfully.

Read:     "1"
Bytes:    2
